[DEBUG] Regularised loss: 0.014631951227784157, Regularisation weight: 0.10000000149011612, MSE loss: 0.14631950855255127, Quality loss: 1.591271996498108
[DEBUG] Regularised loss: 0.01673216000199318, Regularisation weight: 0.10000000149011612, MSE loss: 0.1673215925693512, Quality loss: 1.877192497253418
[DEBUG] Regularised loss: 0.008193637244403362, Regularisation weight: 0.10000000149011612, MSE loss: 0.08193637430667877, Quality loss: 0.5367813110351562
[DEBUG] Regularised loss: 0.013141723349690437, Regularisation weight: 0.10000000149011612, MSE loss: 0.13141722977161407, Quality loss: 0.9646639227867126
[DEBUG] Regularised loss: 0.01283731497824192, Regularisation weight: 0.10000000149011612, MSE loss: 0.1283731460571289, Quality loss: 1.412021517753601
[DEBUG] Regularised loss: 0.01275315135717392, Regularisation weight: 0.10000000149011612, MSE loss: 0.1275315135717392, Quality loss: 1.374651312828064
[DEBUG] Regularised loss: 0.02718561328947544, Regularisation weight: 0.10000000149011612, MSE loss: 0.2718561291694641, Quality loss: 1.7545483112335205
[DEBUG] Regularised loss: 0.009482808411121368, Regularisation weight: 0.10000000149011612, MSE loss: 0.09482808411121368, Quality loss: 0.4457460641860962
[DEBUG] Regularised loss: 0.0175111535936594, Regularisation weight: 0.10000000149011612, MSE loss: 0.1751115322113037, Quality loss: 0.9725217223167419
[DEBUG] Regularised loss: 0.015277788043022156, Regularisation weight: 0.10000000149011612, MSE loss: 0.15277788043022156, Quality loss: 1.2782516479492188
[DEBUG] Regularised loss: 0.020855126902461052, Regularisation weight: 0.10000000149011612, MSE loss: 0.20855127274990082, Quality loss: 1.5970041751861572
[DEBUG] Regularised loss: 0.020816652104258537, Regularisation weight: 0.10000000149011612, MSE loss: 0.20816650986671448, Quality loss: 1.5467078685760498
[DEBUG] Regularised loss: 0.012089865282177925, Regularisation weight: 0.10000000149011612, MSE loss: 0.12089864909648895, Quality loss: 0.5166847705841064
[DEBUG] Regularised loss: 0.016589714214205742, Regularisation weight: 0.10000000149011612, MSE loss: 0.16589714586734772, Quality loss: 0.8877278566360474
[DEBUG] Regularised loss: 0.017358964309096336, Regularisation weight: 0.10000000149011612, MSE loss: 0.17358964681625366, Quality loss: 1.2789229154586792
[DEBUG] Regularised loss: 0.01766217313706875, Regularisation weight: 0.10000000149011612, MSE loss: 0.17662173509597778, Quality loss: 1.4489437341690063
[DEBUG] Regularised loss: 0.02317153289914131, Regularisation weight: 0.10000000149011612, MSE loss: 0.23171532154083252, Quality loss: 1.447107195854187
[DEBUG] Regularised loss: 0.014807553961873055, Regularisation weight: 0.10000000149011612, MSE loss: 0.14807553589344025, Quality loss: 0.5506782531738281
[DEBUG] Regularised loss: 0.01574305258691311, Regularisation weight: 0.10000000149011612, MSE loss: 0.1574305295944214, Quality loss: 0.7029358148574829
[DEBUG] Regularised loss: 0.01548962015658617, Regularisation weight: 0.10000000149011612, MSE loss: 0.15489619970321655, Quality loss: 1.1353126764297485
[DEBUG] Regularised loss: 0.01489934790879488, Regularisation weight: 0.10000000149011612, MSE loss: 0.14899347722530365, Quality loss: 1.3254046440124512
[DEBUG] Regularised loss: 0.018385423347353935, Regularisation weight: 0.10000000149011612, MSE loss: 0.18385422229766846, Quality loss: 1.764237880706787
[DEBUG] Regularised loss: 0.01055715698748827, Regularisation weight: 0.10000000149011612, MSE loss: 0.10557156801223755, Quality loss: 0.5818219184875488
[DEBUG] Regularised loss: 0.01358757819980383, Regularisation weight: 0.10000000149011612, MSE loss: 0.13587577641010284, Quality loss: 0.9549311399459839
[DEBUG] Regularised loss: 0.011941076256334782, Regularisation weight: 0.10000000149011612, MSE loss: 0.11941076070070267, Quality loss: 1.1577218770980835
[DEBUG] Regularised loss: 0.014975818805396557, Regularisation weight: 0.10000000149011612, MSE loss: 0.14975818991661072, Quality loss: 1.2797718048095703
[DEBUG] Regularised loss: 0.02015184611082077, Regularisation weight: 0.10000000149011612, MSE loss: 0.2015184611082077, Quality loss: 1.467526912689209
[DEBUG] Regularised loss: 0.015513956546783447, Regularisation weight: 0.10000000149011612, MSE loss: 0.15513956546783447, Quality loss: 0.5010524392127991
[DEBUG] Regularised loss: 0.02219495177268982, Regularisation weight: 0.10000000149011612, MSE loss: 0.2219495177268982, Quality loss: 0.8036293387413025
[DEBUG] Regularised loss: 0.018827233463525772, Regularisation weight: 0.10000000149011612, MSE loss: 0.18827232718467712, Quality loss: 1.1745457649230957
[DEBUG] Regularised loss: 0.02608480118215084, Regularisation weight: 0.10000000149011612, MSE loss: 0.2608480155467987, Quality loss: 1.5363314151763916
[DEBUG] Regularised loss: 0.07224925607442856, Regularisation weight: 0.10000000149011612, MSE loss: 0.722492516040802, Quality loss: 1.8253859281539917
[DEBUG] Regularised loss: 0.018504856154322624, Regularisation weight: 0.10000000149011612, MSE loss: 0.18504855036735535, Quality loss: 0.5426731109619141
[DEBUG] Regularised loss: 0.02308253012597561, Regularisation weight: 0.10000000149011612, MSE loss: 0.2308253049850464, Quality loss: 0.9728847742080688
[DEBUG] Regularised loss: 0.019012806937098503, Regularisation weight: 0.10000000149011612, MSE loss: 0.19012805819511414, Quality loss: 1.0559990406036377
[DEBUG] Regularised loss: 0.021212061867117882, Regularisation weight: 0.10000000149011612, MSE loss: 0.21212062239646912, Quality loss: 1.3464471101760864
[DEBUG] Regularised loss: 0.021076831966638565, Regularisation weight: 0.10000000149011612, MSE loss: 0.21076831221580505, Quality loss: 1.490142822265625
[DEBUG] Regularised loss: 0.02054847776889801, Regularisation weight: 0.10000000149011612, MSE loss: 0.2054847776889801, Quality loss: 0.6425325274467468
[DEBUG] Regularised loss: 0.019705327227711678, Regularisation weight: 0.10000000149011612, MSE loss: 0.19705326855182648, Quality loss: 0.9164987802505493
[DEBUG] Regularised loss: 0.013665358535945415, Regularisation weight: 0.10000000149011612, MSE loss: 0.1366535872220993, Quality loss: 1.2969934940338135
[DEBUG] Regularised loss: 0.016456585377454758, Regularisation weight: 0.10000000149011612, MSE loss: 0.16456584632396698, Quality loss: 1.4672346115112305
[DEBUG] Regularised loss: 0.01595972292125225, Regularisation weight: 0.10000000149011612, MSE loss: 0.1595972180366516, Quality loss: 1.7770864963531494
[DEBUG] Regularised loss: 0.008082978427410126, Regularisation weight: 0.10000000149011612, MSE loss: 0.08082978427410126, Quality loss: 0.5025544166564941
[DEBUG] Regularised loss: 0.01091767754405737, Regularisation weight: 0.10000000149011612, MSE loss: 0.10917676985263824, Quality loss: 0.908685564994812
[DEBUG] Regularised loss: 0.010178877040743828, Regularisation weight: 0.10000000149011612, MSE loss: 0.10178876668214798, Quality loss: 1.2771224975585938
[DEBUG] Regularised loss: 0.009748200885951519, Regularisation weight: 0.10000000149011612, MSE loss: 0.09748201072216034, Quality loss: 1.1632256507873535
[DEBUG] Regularised loss: 0.01252767164260149, Regularisation weight: 0.10000000149011612, MSE loss: 0.12527671456336975, Quality loss: 1.606642484664917
[DEBUG] Regularised loss: 0.010970594361424446, Regularisation weight: 0.10000000149011612, MSE loss: 0.10970593988895416, Quality loss: 0.5962921380996704
[DEBUG] Regularised loss: 0.016613561660051346, Regularisation weight: 0.10000000149011612, MSE loss: 0.16613560914993286, Quality loss: 0.7926309108734131
[DEBUG] Regularised loss: 0.017460666596889496, Regularisation weight: 0.10000000149011612, MSE loss: 0.17460666596889496, Quality loss: 1.2694482803344727
[DEBUG] Regularised loss: 0.017559554427862167, Regularisation weight: 0.10000000149011612, MSE loss: 0.17559553682804108, Quality loss: 1.2975822687149048
[DEBUG] Regularised loss: 0.01739962212741375, Regularisation weight: 0.10000000149011612, MSE loss: 0.1739962249994278, Quality loss: 1.8407104015350342
[DEBUG] Regularised loss: 0.016363536939024925, Regularisation weight: 0.10000000149011612, MSE loss: 0.16363537311553955, Quality loss: 0.4036200940608978
[DEBUG] Regularised loss: 0.02547743357717991, Regularisation weight: 0.10000000149011612, MSE loss: 0.2547743320465088, Quality loss: 0.8779658079147339
[DEBUG] Regularised loss: 0.020580947399139404, Regularisation weight: 0.10000000149011612, MSE loss: 0.20580947399139404, Quality loss: 1.1238914728164673
[DEBUG] Regularised loss: 0.021684149280190468, Regularisation weight: 0.10000000149011612, MSE loss: 0.21684148907661438, Quality loss: 1.5414397716522217
[DEBUG] Regularised loss: 0.021686531603336334, Regularisation weight: 0.10000000149011612, MSE loss: 0.21686531603336334, Quality loss: 1.7263888120651245
[DEBUG] Regularised loss: 0.022205475717782974, Regularisation weight: 0.10000000149011612, MSE loss: 0.22205474972724915, Quality loss: 0.4122500419616699
